A4,A4,
API Endpoint,نقطة وصولAPI,
API Key,مفتاح API,
Access Token,رمز وصول,
Account,حساب,
Accounts Manager,مدير حسابات,
Accounts User,حسابات المستخدم,
Action,اجراء,
Actions,الإجراءات,
Active,فعال,
Add,إضافة,
Add Comment,أضف تعليق,
Add Row,اضف سطر,
Address,العنوان,
Address Line 2,العنوان رقم 2,
Address Title,إسم العنوان,
Address Type,نوع العنوان,
Administrator,المسئوول,
All Day,كل اليوم,
Allow Delete,السماح بالحذف,
Amended From,معدل من,
Amount,المبلغ,
Applicable For,قابل للتطبيق ل,
Approval Status,حالة الموافقة,
Assign,احالة الى,
Assign To,احالة الى ,
Attachment,المرفق,
Attachments,المرفقات,
Author,المؤلف,
Auto Repeat,تكرار تلقائي,
Base URL,الرابط الأساسي,
Based On,بناء على,
Beginner,مبتدئ,
Billing,الفواتير,
Cancel,إلغاء,
Category,الفئة,
Category Name,اسم التصنيف,
City,المدينة,
City/Town,المدينة / البلدة,
Client,المواطن,
Client ID,رقم المواطن,
Client Secret,سر المواطن,
Closed,مغلق,
Code,الكود,
Collapse All,انتهاء الكل,
Color,اللون,
Company Name,اسم الشركة,
Condition,الحالة,
Contact,جهة اتصال,
Contact Details,تفاصيل الاتصال,
Content,المحتوى,
Content Type,نوع المحتوى,
Create,انشاء,
Created By,منشئه بواسطه,
Current,الحالي,
Custom HTML,مخصصة HTML,
Custom?,مخصص؟,
Date Format,تنسيق التاريخ,
Datetime,التاريخ والوقت,
Day,اليوم,
Default Letter Head,ترويسة التقارير الأفتراضية,
Defaults,القيم الافتراضية,
Delivery Status,حالة التسليم,
Department,الادارة,
Details,التفاصيل,
Document Name,اسم الوثيقة,
Document Status,حالة الوثيقة,
Document Type,نوع الوثيقة,
Domain,مجال العمل,
Domains,المجالات,
Draft,مسودة,
Edit,تعديل,
Email Account,حساب البريد الإلكتروني,
Email Address,البريد الالكتروني,
Email ID,عنوان الايميل,
Email Sent,إرسال البريد الإلكتروني,
Email Template,قالب البريد الإلكتروني,
Enable,تمكين,
Enabled,تم التمكين,
End Date,نهاية التاريخ,
Error Code: {0},خطاء في الكود: {0},
Error Log,سجل الأخطاء,
Event,اجراء,
Expand All,توسيع الكل,
Fail,فشل,
Failed,باءت بالفشل,
Fax,فاكس,
Feedback,Feedback,
Female,أنثى,
Field Name,اسم الحقل,
Fieldname,اسم الحقل,
Fields,الحقول,
First Name,الاسم الأول,
Frequency,متكرر,
Friday,الجمعة,
From,من,
Full,ممتلئ,
Full Name,الاسم الكامل,
Further nodes can be only created under 'Group' type nodes,العقد الإضافية يمكن أن تنشأ فقط في ظل العقد نوع ' المجموعة ',
Gender,الجنس,
GitHub Sync ID,معرف مزامنة GitHub,
Guest,الضيف,
Half Day,نصف يوم,
Half Yearly,نصف سنوي,
High,مستوى عالي,
Hourly,كل ساعة,
Hub Sync ID,معرف مزامنة المحور,
IP Address,عنوان IP,
Image,الصورة,
Image View,عرض الصورة,
Import Data,استيراد البيانات,
Import Log,سجل الاستيراد,
Inactive,غير فعال,
Insert,إدراج,
Interests,الإهتمامات,
Introduction,مقدمة,
Is Active,هل هو فعال,
Is Completed,هل قد اكتمل,
Is Default,هل هو افتراضي,
Kanban Board,لوح كانبان,
Label,الملصق,
Language Name,اسم اللغة,
Last Name,اسم العائلة,
Leaderboard,المتصدرين,
Letter Head,ترئيس الرسالة,
Level,المستوى,
Limit,الحد,
Log,السجل,
Logs,السجلات,
Low,منخفض,
Maintenance Manager,مدير الصيانة,
Maintenance User,عضو الصيانة,
Male,ذكر,
Mandatory,إلزامي,
Mapping,رسم الخرائط,
Mapping Type,نوع رسم الخرائط,
Medium,متوسط,
Meeting,اجتماع,
Message Examples,أمثلة الرسالة,
Method,طريقة,
Middle Name,الاسم الأوسط,
Middle Name (Optional),الاسم الأوسط (اختياري),
Monday,يوم الاثنين,
Monthly,شهريا,
More,أكثر,
More Information,المزيد من المعلومات,
More...,المزيد...,
Move,حرك,
My Account,حسابي,
New Address,عنوان جديد,
New Contact,جهة اتصال جديدة,
Next,التالي,
No Data,لا توجد بيانات,
No address added yet.,لم تتم إضافة أي عنوان حتى الآن.,
No contacts added yet.,لم تتم إضافة أي جهات اتصال حتى الآن.,
No items found.,لم يتم العثور على العناصر.,
None,لا شيء,
Not Permitted,لا يسمح,
Not active,غير فعالة,
Notes,الملاحظات,
Number,الرقم,
Online,متصل بالسيرفر,
Operation,العملية,
Options,الخيارات,
Other,آخر,
Owner,المالك,
Page Missing or Moved,الصفحة مفقودة أو تم نقلها,
Parameter,المتغير,
Password,كلمة السر,
Payment Gateway,بوابة الدفع,
Payment Gateway Name,اسم بوابة الدفع,
Payments,المدفوعات,
Period,الفترة,
Pincode,رمز Pin,
Plan Name,اسم الخطة,
Please enable pop-ups,يرجى تمكين النوافذ المنبثقة,
Please select Company,الرجاء اختيار شركة \n<br>\nPlease select Company,
Please set Email Address,يرجى وضع عنوان البريد الإلكتروني,
Portal,البوابة,
Portal Settings,إعدادات البوابة,
Preview,معاينة,
Primary,أساسي,
Print Format,تنسيق الطباعة,
Print Settings,إعدادات الطباعة,
Print taxes with zero amount,طباعة الضرائب بقيمة صفر,
Private,خاص,
Property,ممتلكات,
Public,عام,
Published,تم النشر,
Purchase Manager,مدير المشتريات,
Purchase Master Manager,المدير الرئيسي للمشتريات,
Purchase User,مستخدم مشتريات,
Query Options,خيارات الاستعلام,
Rating,تقييم,
Received,استلمت,
Recipients,المستلمين,
Redirect URL,إعادة توجيه URL,
Reference,المرجع,
Reference Date,المرجع تاريخ,
Reference Document,وثيقة مرجعية,
Reference Document Type,مرجع نوع الوثيقة,
Reference Owner,مرجع المالك,
Reference Type,نوع المرجع,
Refresh Token,تحديث رمز,
Region,منطقة,
Rejected,مرفوض,
Reopen,إعادة فتح,
Replied,تم الرد,
Report,تقرير,
Report Builder,انشاء تقرير,
Report Type,نوع التقرير,
Reports,تقارير,
Response,الإستجابة,
Role,صلاحية,
Route,المسار,
Sales Manager,مدير المبيعات,
Sales Master Manager,المدير الرئيسي للمبيعات,
Sales User,مستخدم مبيعات,
Salutation,البيان,
Sample,عينة,
Saturday,يوم السبت,
Saved,حفظ,
Scan Barcode,مسح الباركود,
Scheduled,مجدول,
Search,البحث,
Secret Key,المفتاح السري,
Select,حدد,
Select DocType,حدد نوع الوثيقة,
Send Now,أرسل الآن,
Sent,تم الارسال,
Series {0} already used in {1},الترقيم المتسلسل {0} مستخدم بالفعل في {1},
Service,خدمة,
Set as Default,تعيين كافتراضي,
Settings,إعدادات,
Shipping,الشحن,
Short Name,الاسم المختصر,
Slideshow,عرض الشرائح,
Some information is missing,بعض المعلومات مفقودة,
Source,المصدر,
Source Name,اسم المصدر,
Standard,الاساسي,
